territorio;mes;variavel;valor;unidade
Brasil;janeiro 2025;numero_indice;118.02;pontos_de_indice
Brasil;fevereiro 2025;numero_indice;103.29;pontos_de_indice
Brasil;março 2025;numero_indice;113.04;pontos_de_indice
Brasil;abril 2025;numero_indice;112.42;pontos_de_indice
Brasil;maio 2025;numero_indice;114.73;pontos_de_indice
Brasil;junho 2025;numero_indice;112.22;pontos_de_indice
Brasil;julho 2025;numero_indice;120.81;pontos_de_indice
Brasil;agosto 2025;numero_indice;115.85;pontos_de_indice
Brasil;setembro 2025;numero_indice;115.83;pontos_de_indice
Brasil;outubro 2025;numero_indice;120.08;pontos_de_indice
Brasil;novembro 2025;numero_indice;118.41;pontos_de_indice
Brasil;dezembro 2025;numero_indice;130.06;pontos_de_indice
Amazonas;janeiro 2025;numero_indice;86.49;pontos_de_indice
Amazonas;fevereiro 2025;numero_indice;87.35;pontos_de_indice
Amazonas;março 2025;numero_indice;91.10;pontos_de_indice
Amazonas;abril 2025;numero_indice;98.15;pontos_de_indice
Amazonas;maio 2025;numero_indice;105.85;pontos_de_indice
Amazonas;junho 2025;numero_indice;115.29;pontos_de_indice
Amazonas;julho 2025;numero_indice;103.48;pontos_de_indice
Amazonas;agosto 2025;numero_indice;119.11;pontos_de_indice
Amazonas;setembro 2025;numero_indice;117.30;pontos_de_indice
Amazonas;outubro 2025;numero_indice;118.85;pontos_de_indice
Amazonas;novembro 2025;numero_indice;104.57;pontos_de_indice
Amazonas;dezembro 2025;numero_indice;110.88;pontos_de_indice
Pará;janeiro 2025;numero_indice;107.45;pontos_de_indice
Pará;fevereiro 2025;numero_indice;109.06;pontos_de_indice
Pará;março 2025;numero_indice;110.61;pontos_de_indice
Pará;abril 2025;numero_indice;110.92;pontos_de_indice
Pará;maio 2025;numero_indice;121.12;pontos_de_indice
Pará;junho 2025;numero_indice;125.35;pontos_de_indice
Pará;julho 2025;numero_indice;125.48;pontos_de_indice
Pará;agosto 2025;numero_indice;127.42;pontos_de_indice
Pará;setembro 2025;numero_indice;132.60;pontos_de_indice
Pará;outubro 2025;numero_indice;135.68;pontos_de_indice
Pará;novembro 2025;numero_indice;140.12;pontos_de_indice
Pará;dezembro 2025;numero_indice;131.94;pontos_de_indice
Ceará;janeiro 2025;numero_indice;124.68;pontos_de_indice
Ceará;fevereiro 2025;numero_indice;92.94;pontos_de_indice
Ceará;março 2025;numero_indice;98.72;pontos_de_indice
Ceará;abril 2025;numero_indice;98.88;pontos_de_indice
Ceará;maio 2025;numero_indice;102.85;pontos_de_indice
Ceará;junho 2025;numero_indice;101.36;pontos_de_indice
Ceará;julho 2025;numero_indice;128.69;pontos_de_indice
Ceará;agosto 2025;numero_indice;115.78;pontos_de_indice
Ceará;setembro 2025;numero_indice;103.82;pontos_de_indice
Ceará;outubro 2025;numero_indice;112.36;pontos_de_indice
Ceará;novembro 2025;numero_indice;107.29;pontos_de_indice
Ceará;dezembro 2025;numero_indice;110.55;pontos_de_indice
Rio Grande do Norte;janeiro 2025;numero_indice;132.04;pontos_de_indice
